Stage,Day,Time,Scenario,Value
1,1,1,1,0
1,1,1,2,0
1,1,1,3,0
1,1,1,4,0
1,1,2,1,0
1,1,2,2,0
1,1,2,3,0
1,1,2,4,0
1,1,3,1,0
1,1,3,2,0
1,1,3,3,0
1,1,3,4,0
1,1,4,1,0
1,1,4,2,0
1,1,4,3,0
1,1,4,4,0
1,1,5,1,0
1,1,5,2,0
1,1,5,3,0
1,1,5,4,0
1,1,6,1,0
1,1,6,2,0
1,1,6,3,0
1,1,6,4,0
1,1,7,1,0
1,1,7,2,0
1,1,7,3,0
1,1,7,4,0
1,1,8,1,0
1,1,8,2,0
1,1,8,3,0
1,1,8,4,0
1,1,9,1,0
1,1,9,2,0
1,1,9,3,0
1,1,9,4,0
1,1,10,1,1236
1,1,10,2,1236
1,1,10,3,1236
1,1,10,4,1236
1,1,11,1,1236
1,1,11,2,1236
1,1,11,3,1236
1,1,11,4,1236
1,1,12,1,1236
1,1,12,2,1236
1,1,12,3,1236
1,1,12,4,1236
1,1,13,1,1236
1,1,13,2,1236
1,1,13,3,1236
1,1,13,4,1236
1,1,14,1,1236
1,1,14,2,1236
1,1,14,3,1236
1,1,14,4,1236
1,1,15,1,1236
1,1,15,2,1236
1,1,15,3,1236
1,1,15,4,1236
1,1,16,1,1236
1,1,16,2,1236
1,1,16,3,1236
1,1,16,4,1236
1,1,17,1,1236
1,1,17,2,1236
1,1,17,3,1236
1,1,17,4,1236
1,1,18,1,0
1,1,18,2,0
1,1,18,3,0
1,1,18,4,0
1,1,19,1,0
1,1,19,2,0
1,1,19,3,0
1,1,19,4,0
1,1,20,1,0
1,1,20,2,0
1,1,20,3,0
1,1,20,4,0
1,1,21,1,0
1,1,21,2,0
1,1,21,3,0
1,1,21,4,0
1,1,22,1,0
1,1,22,2,0
1,1,22,3,0
1,1,22,4,0
1,1,23,1,0
1,1,23,2,0
1,1,23,3,0
1,1,23,4,0
1,1,24,1,0
1,1,24,2,0
1,1,24,3,0
1,1,24,4,0
1,2,1,1,0
1,2,1,2,0
1,2,1,3,0
1,2,1,4,0
1,2,2,1,0
1,2,2,2,0
1,2,2,3,0
1,2,2,4,0
1,2,3,1,0
1,2,3,2,0
1,2,3,3,0
1,2,3,4,0
1,2,4,1,0
1,2,4,2,0
1,2,4,3,0
1,2,4,4,0
1,2,5,1,0
1,2,5,2,0
1,2,5,3,0
1,2,5,4,0
1,2,6,1,0
1,2,6,2,0
1,2,6,3,0
1,2,6,4,0
1,2,7,1,0
1,2,7,2,0
1,2,7,3,0
1,2,7,4,0
1,2,8,1,0
1,2,8,2,0
1,2,8,3,0
1,2,8,4,0
1,2,9,1,0
1,2,9,2,0
1,2,9,3,0
1,2,9,4,0
1,2,10,1,0
1,2,10,2,0
1,2,10,3,0
1,2,10,4,0
1,2,11,1,412
1,2,11,2,970.856917693
1,2,11,3,824
1,2,11,4,347.038070084
1,2,12,1,663.777777778
1,2,12,2,869.777777778
1,2,12,3,320.444444444
1,2,12,4,618
1,2,13,1,0
1,2,13,2,0
1,2,13,3,22.888888889
1,2,13,4,0
1,2,14,1,640.888888889
1,2,14,2,0
1,2,14,3,0
1,2,14,4,0
1,2,15,1,0
1,2,15,2,434.888888889
1,2,15,3,0
1,2,15,4,0
1,2,16,1,0
1,2,16,2,0
1,2,16,3,0
1,2,16,4,0
1,2,17,1,0
1,2,17,2,206
1,2,17,3,0
1,2,17,4,0
1,2,18,1,0
1,2,18,2,0
1,2,18,3,0
1,2,18,4,0
